wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Poor,Primary,Urban,Tribe,Household Barrier,416,False,0.338942,0.612158,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Tribe,Logistical Barrier,416,False,0.334135,0.510857,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Tribe,Health Facility Barrier,416,False,0.451923,0.508274,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Don't Know,Household Barrier,782,False,0.329923,0.527479,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Don't Know,Logistical Barrier,782,False,0.352941,0.520783,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Don't Know,Health Facility Barrier,782,False,0.539642,0.573625,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,No Caste/Tribe,Household Barrier,7969,False,0.477852,0.699726,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,No Caste/Tribe,Logistical Barrier,7969,False,0.447735,0.629807,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,No Caste/Tribe,Health Facility Barrier,7969,False,0.579496,0.615898,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Other Caste,Household Barrier,92620,False,0.340089,0.576588,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Other Caste,Logistical Barrier,92620,False,0.395692,0.583679,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Other Caste,Health Facility Barrier,92620,False,0.531915,0.570552,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Tribe,Household Barrier,29528,False,0.388614,0.624403,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Tribe,Logistical Barrier,29528,False,0.473855,0.655519,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Rural,Tribe,Health Facility Barrier,29528,False,0.563668,0.603377,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Don't Know,Household Barrier,72,False,0.472222,0.582226,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Don't Know,Logistical Barrier,72,False,0.222222,0.389579,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Don't Know,Health Facility Barrier,72,False,0.138889,0.338462,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,No Caste/Tribe,Household Barrier,607,False,0.377265,0.633822,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,No Caste/Tribe,Logistical Barrier,607,False,0.243822,0.439163,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,No Caste/Tribe,Health Facility Barrier,607,False,0.4514,0.5192,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Other Caste,Household Barrier,6576,False,0.336527,0.563207,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Other Caste,Logistical Barrier,6576,False,0.267944,0.439151,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Other Caste,Health Facility Barrier,6576,False,0.45955,0.50108,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Tribe,Household Barrier,1617,False,0.324057,0.572813,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Tribe,Logistical Barrier,1617,False,0.299938,0.480238,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Secondary,Urban,Tribe,Health Facility Barrier,1617,False,0.484848,0.50539,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Don't Know,Household Barrier,91,False,0.032967,0.094969,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Don't Know,Logistical Barrier,91,False,0.120879,0.254618,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Don't Know,Health Facility Barrier,91,False,0.417582,0.470264,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,No Caste/Tribe,Household Barrier,1243,False,0.160097,0.317069,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,No Caste/Tribe,Logistical Barrier,1243,False,0.241352,0.389861,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,No Caste/Tribe,Health Facility Barrier,1243,False,0.411907,0.45892,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Other Caste,Household Barrier,27350,False,0.132322,0.285222,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Other Caste,Logistical Barrier,27350,False,0.186691,0.32747,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Other Caste,Health Facility Barrier,27350,False,0.344205,0.379572,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Tribe,Household Barrier,2035,False,0.170025,0.339533,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Tribe,Logistical Barrier,2035,False,0.236855,0.378891,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Rural,Tribe,Health Facility Barrier,2035,False,0.412285,0.443597,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Don't Know,Household Barrier,261,False,0.065134,0.171979,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Don't Know,Logistical Barrier,261,False,0.130268,0.206258,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Don't Know,Health Facility Barrier,261,False,0.275862,0.311499,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,No Caste/Tribe,Household Barrier,2023,False,0.112704,0.251441,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,No Caste/Tribe,Logistical Barrier,2023,False,0.096391,0.185821,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,No Caste/Tribe,Health Facility Barrier,2023,False,0.341572,0.37178,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Other Caste,Household Barrier,36887,False,0.106325,0.237124,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Other Caste,Logistical Barrier,36887,False,0.104834,0.199439,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Other Caste,Health Facility Barrier,36887,False,0.288557,0.322034,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Tribe,Household Barrier,2651,False,0.116183,0.24225,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Tribe,Logistical Barrier,2651,False,0.115051,0.211229,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Higher,Urban,Tribe,Health Facility Barrier,2651,False,0.314221,0.343363,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Don't Know,Household Barrier,49,False,0.244898,0.387371,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Don't Know,Logistical Barrier,49,False,0.428571,0.524021,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Don't Know,Health Facility Barrier,49,False,0.510204,0.508302,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,No Caste/Tribe,Household Barrier,503,False,0.310139,0.502534,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,No Caste/Tribe,Logistical Barrier,503,False,0.4334,0.577578,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,No Caste/Tribe,Health Facility Barrier,503,False,0.530815,0.571428,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Other Caste,Household Barrier,13830,False,0.219812,0.425419,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Other Caste,Logistical Barrier,13830,False,0.281996,0.459503,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Other Caste,Health Facility Barrier,13830,False,0.420174,0.459736,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Tribe,Household Barrier,787,False,0.326557,0.54048,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Tribe,Logistical Barrier,787,False,0.410419,0.584242,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Rural,Tribe,Health Facility Barrier,787,False,0.510801,0.537721,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Don't Know,Household Barrier,88,False,0.193182,0.368642,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Don't Know,Logistical Barrier,88,False,0.340909,0.476749,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Don't Know,Health Facility Barrier,88,False,0.397727,0.457698,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,No Caste/Tribe,Household Barrier,472,False,0.233051,0.461288,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,No Caste/Tribe,Logistical Barrier,472,False,0.237288,0.404406,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,No Caste/Tribe,Health Facility Barrier,472,False,0.506356,0.525169,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Other Caste,Household Barrier,9566,False,0.208133,0.40735,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Other Caste,Logistical Barrier,9566,False,0.20552,0.355515,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Other Caste,Health Facility Barrier,9566,False,0.39055,0.428211,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Tribe,Household Barrier,426,False,0.288732,0.483569,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Tribe,Logistical Barrier,426,False,0.326291,0.443582,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,No Education,Urban,Tribe,Health Facility Barrier,426,False,0.504695,0.506053,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Don't Know,Household Barrier,47,False,0.085106,0.275566,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Don't Know,Logistical Barrier,47,False,0.404255,0.449419,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Don't Know,Health Facility Barrier,47,False,0.531915,0.530432,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,No Caste/Tribe,Household Barrier,287,False,0.229965,0.450237,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,No Caste/Tribe,Logistical Barrier,287,False,0.28223,0.469997,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,No Caste/Tribe,Health Facility Barrier,287,False,0.484321,0.52136,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Other Caste,Household Barrier,9922,False,0.199254,0.390888,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Other Caste,Logistical Barrier,9922,False,0.267386,0.43225,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Other Caste,Health Facility Barrier,9922,False,0.412921,0.44772,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Tribe,Household Barrier,570,False,0.233333,0.457652,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Tribe,Logistical Barrier,570,False,0.254386,0.47138,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Rural,Tribe,Health Facility Barrier,570,False,0.4,0.471078,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Don't Know,Household Barrier,90,False,0.155556,0.345059,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Don't Know,Logistical Barrier,90,False,0.288889,0.461627,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Don't Know,Health Facility Barrier,90,False,0.377778,0.449698,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,No Caste/Tribe,Household Barrier,329,False,0.231003,0.415628,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,No Caste/Tribe,Logistical Barrier,329,False,0.197568,0.324101,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,No Caste/Tribe,Health Facility Barrier,329,False,0.43769,0.498568,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Other Caste,Household Barrier,7599,False,0.197131,0.387632,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Other Caste,Logistical Barrier,7599,False,0.187525,0.328051,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Other Caste,Health Facility Barrier,7599,False,0.391104,0.42802,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Tribe,Household Barrier,395,False,0.164557,0.363998,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Tribe,Logistical Barrier,395,False,0.18481,0.30802,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Primary,Urban,Tribe,Health Facility Barrier,395,False,0.387342,0.398835,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Don't Know,Household Barrier,373,False,0.080429,0.213462,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Don't Know,Logistical Barrier,373,False,0.217158,0.373666,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Don't Know,Health Facility Barrier,373,False,0.530831,0.546186,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,No Caste/Tribe,Household Barrier,3110,False,0.204502,0.397177,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,No Caste/Tribe,Logistical Barrier,3110,False,0.284566,0.448989,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,No Caste/Tribe,Health Facility Barrier,3110,False,0.446945,0.4817,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Other Caste,Household Barrier,66760,False,0.173352,0.356493,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Other Caste,Logistical Barrier,66760,False,0.23246,0.394616,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Other Caste,Health Facility Barrier,66760,False,0.384931,0.424903,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Tribe,Household Barrier,5168,False,0.215364,0.401228,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Tribe,Logistical Barrier,5168,False,0.271865,0.425961,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Rural,Tribe,Health Facility Barrier,5168,False,0.416022,0.435715,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Don't Know,Household Barrier,699,False,0.153076,0.283298,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Don't Know,Logistical Barrier,699,False,0.27897,0.399672,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Don't Know,Health Facility Barrier,699,False,0.413448,0.426989,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,No Caste/Tribe,Household Barrier,3723,False,0.168144,0.346657,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,No Caste/Tribe,Logistical Barrier,3723,False,0.151491,0.279144,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,No Caste/Tribe,Health Facility Barrier,3723,False,0.387859,0.429514,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Other Caste,Household Barrier,60005,False,0.15577,0.324785,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Other Caste,Logistical Barrier,60005,False,0.152004,0.275368,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Other Caste,Health Facility Barrier,60005,False,0.347488,0.382497,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Tribe,Household Barrier,5087,False,0.140554,0.287338,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Tribe,Logistical Barrier,5087,False,0.132888,0.246305,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Rich,Secondary,Urban,Tribe,Health Facility Barrier,5087,False,0.273049,0.318496,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
