category,metric_type,value,N
15-19,Observed,0.61099,122480
15-19,Predicted,0.507519,122480
20-24,Observed,0.595552,118700
20-24,Predicted,0.488037,118700
25-29,Observed,0.5879,118379
25-29,Predicted,0.482568,118379
30-34,Observed,0.586705,101049
30-34,Predicted,0.482274,101049
35-39,Observed,0.588683,98068
35-39,Predicted,0.483056,98068
40-44,Observed,0.580204,81380
40-44,Predicted,0.474646,81380
45-49,Observed,0.5834,84059
45-49,Predicted,0.479007,84059
