wealth_tier,education_tier,residence,caste_group,barrier_type,N,demographic_cell,metric_type,value,data_rail
Middle,Higher,Urban,Other Caste,Health Facility Barrier,2534,Middle | Higher | Urban | Other Caste,BarrierLens AI Predicted Probability,0.419768,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Tribe,Household Barrier,636,Middle | Higher | Urban | Tribe,Observed Rate (NFHS-5),0.213836,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Urban,Tribe,Household Barrier,636,Middle | Higher | Urban | Tribe,BarrierLens AI Predicted Probability,0.390939,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Tribe,Logistical Barrier,636,Middle | Higher | Urban | Tribe,Observed Rate (NFHS-5),0.224843,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Urban,Tribe,Logistical Barrier,636,Middle | Higher | Urban | Tribe,BarrierLens AI Predicted Probability,0.35287,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Tribe,Health Facility Barrier,636,Middle | Higher | Urban | Tribe,Observed Rate (NFHS-5),0.430818,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Urban,Tribe,Health Facility Barrier,636,Middle | Higher | Urban | Tribe,BarrierLens AI Predicted Probability,0.455507,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,Don't Know,Household Barrier,99,Middle | No Education | Rural | Don't Know,Observed Rate (NFHS-5),0.282828,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,Don't Know,Household Barrier,99,Middle | No Education | Rural | Don't Know,BarrierLens AI Predicted Probability,0.495379,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,Don't Know,Logistical Barrier,99,Middle | No Education | Rural | Don't Know,Observed Rate (NFHS-5),0.313131,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,Don't Know,Logistical Barrier,99,Middle | No Education | Rural | Don't Know,BarrierLens AI Predicted Probability,0.520722,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,Don't Know,Health Facility Barrier,99,Middle | No Education | Rural | Don't Know,Observed Rate (NFHS-5),0.444444,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,Don't Know,Health Facility Barrier,99,Middle | No Education | Rural | Don't Know,BarrierLens AI Predicted Probability,0.490788,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,No Caste/Tribe,Household Barrier,726,Middle | No Education | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.338843,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,No Caste/Tribe,Household Barrier,726,Middle | No Education | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.586907,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,No Caste/Tribe,Logistical Barrier,726,Middle | No Education | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.436639,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,No Caste/Tribe,Logistical Barrier,726,Middle | No Education | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.610663,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,No Caste/Tribe,Health Facility Barrier,726,Middle | No Education | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.549587,Rail A — Observed Rate (NFHS-5)
Middle,No Education,Rural,No Caste/Tribe,Health Facility Barrier,726,Middle | No Education | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.5904,Rail B — BarrierLens AI Predicted Probability
Middle,No Education,Rural,Other Caste,Household Barrier,21928,Middle | No Education | Rural | Other Caste,Observed Rate (NFHS-5),0.278001,Rail A — Observed Rate (NFHS-5)
