cluster_id,archetype_name,n_women,share_of_total,media_exposure_index_mean,digital_inclusion_index_mean,vulnerability_score_mean,pred_household_prob_mean,pred_logistic_prob_mean,pred_facility_prob_mean,composite_barrier_score_mean,risk_tier
0,"High Vulnerability, High Barrier Exposure",389968,0.538544,0.362267,0.079199,0.765437,0.586635,0.595177,0.572963,0.584925,High Risk Cluster
1,High Media & Digital Inclusion,334147,0.461456,0.917466,0.124011,0.251151,0.353775,0.350334,0.410177,0.371429,Low Risk Cluster
